Str	Len	var	wt
1	3.33106134371957	0.746239913454803	6881.16503474993
2	3.35	0.328436568400121	9195.07841258667
3	3.41016835016835	0.455857355134735	3909.11757796099
4	3.34534206695779	0.252738666590336	5436.44555277772
5	3.31961259079903	0.117166395186733	7049.80296341427
6	3.33498466257669	0.127881566584679	5098.46741334896
7	3.38801566579634	0.0866672562984432	4419.20070344814
8	3.4375	0.216941627906977	995.659533322113
9	3.40710526315789	0.149458961593172	254.250394857126
10	3.49166666666667	0.0362676056338028	1985.2427184466
11	3.35441860465116	0.0196681063122923	2186.2806371514
12	3.39133333333333	0.0925980952380953	161.990373143539
13	3.88545454545455	0.0131272727272727	837.950138504156
14	3.41540983606557	0.00809857923497267	7532.18536611698
16	3.62	0	0
17	3.59936170212766	0.0609713228492137	770.85419511455
19	3.32	0	0
