Str	Len	var	wt
1	1.00503355704698	0.00501102293596937	356813.373805505
2	1.00512674451723	0.00253781156657817	1383475.45035979
3	1.03261758691207	0.00970651327848405	151135.630056967
4	1.01079734219269	0.00258489987655453	465782.064102552
5	1.01997780244173	0.00422266617338756	213372.301527968
6	1.01137855579869	0.00261936734615535	174469.610255612
7	1.01074398249453	0.00148716457445583	307296.184867248
8	1.01295238095238	0.00139093721565059	226466.009001465
9	1.01701657458564	0.00172549416820136	104897.48579601
10	1.01741573033708	0.00144639116358789	123064.91112574
11	1.0075	0.000631914893617022	75959.5959595959
12	1.00435897435897	0.00074102564102564	52629.7577854672
13	1.06911111111111	0.00346282828282828	12995.1578087626
14	1.13066666666667	0.00107412429378531	55859.4571849359
15	1.06833333333333	0.00169666666666666	3536.34577603144
17	1.14	0.000857142857142853	17500.0000000001
18	1	0	0
20	1	0	0
21	1.1	0	0
22	1	0	0
24	1	0	0
31	1	0	0
